bout_number,bout_length_sec,bout_start_time,IC,FC,gait_cycles,steps,stride_duration,stride_duration_asymmetry,step_duration,step_duration_asymmetry,cadence,initial_double_support,initial_double_support_asymmetry,terminal_double_support,terminal_double_support_asymmetry,double_support,double_support_asymmetry,single_limb_support,single_limb_support_asymmetry,stance,stance_asymmetry,swing,swing_asymmetry,step_length,step_length_asymmetry,stride_length,stride_length_asymmetry,gait_speed
1,15.000,2022-01-25 11:20:25.278,1643109626378.428,1643109627238.383,15,20,1.360,0.000,0.700,0.040,85.720,0.160,0.000,0.160,0.000,0.320,0.000,0.540,0.040,0.860,0.040,0.500,0.040,0.450,0.040,0.860,0.040,0.630
1,15.000,2022-01-25 11:20:25.278,1643109627078.396,1643109627898.382,15,20,1.360,0.020,0.660,0.040,90.910,0.160,0.000,0.160,0.000,0.320,0.000,0.500,0.040,0.820,0.040,0.540,0.020,0.410,0.000,0.820,0.010,0.600
1,15.000,2022-01-25 11:20:25.278,1643109627738.382,1643109628598.351,15,20,1.380,0.020,0.700,0.020,85.720,0.160,0.000,0.160,0.000,0.320,0.000,0.540,0.020,0.860,0.020,0.520,0.040,0.410,0.010,0.810,0.060,0.590
1,15.000,2022-01-25 11:20:25.278,1643109628438.369,1643109629278.444,15,20,1.400,0.020,0.680,0.040,88.240,0.160,0.000,0.160,0.000,0.320,0.000,0.520,0.040,0.840,0.040,0.560,0.060,0.400,0.070,0.870,0.000,0.620
1,15.000,2022-01-25 11:20:25.278,1643109629118.354,1643109629998.364,15,20,1.380,0.000,0.720,0.060,83.330,0.160,0.000,0.160,0.020,0.320,0.020,0.560,0.060,0.880,0.040,0.500,0.040,0.470,0.060,0.880,0.010,0.630
1,15.000,2022-01-25 11:20:25.278,1643109629838.360,1643109630678.432,15,20,1.380,0.040,0.660,0.060,90.900,0.160,0.020,0.180,0.040,0.340,0.020,0.500,0.040,0.840,0.020,0.540,0.020,0.410,0.050,0.860,0.040,0.620
1,15.000,2022-01-25 11:20:25.278,1643109630498.428,1643109631358.378,15,20,1.420,0.020,0.720,0.020,83.330,0.180,0.040,0.140,0.020,0.320,0.020,0.540,0.020,0.860,0.000,0.560,0.020,0.450,0.010,0.900,0.010,0.630
1,15.000,2022-01-25 11:20:25.278,1643109631218.441,1643109632078.396,15,20,1.400,0.000,0.700,0.000,85.720,0.140,0.020,0.160,0.000,0.300,0.020,0.560,0.020,0.860,0.000,0.540,0.000,0.440,0.000,0.890,0.000,0.630
1,15.000,2022-01-25 11:20:25.278,1643109631918.373,1643109632778.466,15,20,1.400,0.000,0.700,0.000,85.710,0.160,0.000,0.160,0.000,0.320,0.000,0.540,0.000,0.860,0.000,0.540,0.000,0.440,0.000,0.890,0.020,0.630
1,15.000,2022-01-25 11:20:25.278,1643109632618.419,1643109633478.394,15,20,1.400,0.020,0.700,0.000,85.720,0.160,0.000,0.160,0.000,0.320,0.000,0.540,0.000,0.860,0.000,0.540,0.020,0.440,0.020,0.870,0.010,0.620
1,15.000,2022-01-25 11:20:25.278,1643109633318.381,1643109634178.332,15,20,1.420,0.000,0.700,0.020,85.760,0.160,0.000,0.160,0.000,0.320,0.000,0.540,0.020,0.860,0.020,0.560,0.020,0.430,0.020,0.880,0.060,0.620
1,15.000,2022-01-25 11:20:25.278,1643109634018.005,1643109634898.550,15,20,1.420,0.000,0.720,0.020,83.290,0.160,0.000,0.160,0.020,0.320,0.020,0.560,0.020,0.880,0.040,0.540,0.040,0.450,0.080,0.810,0.050,0.570
1,15.000,2022-01-25 11:20:25.278,1643109634738.419,1643109635578.380,15,20,1.420,0.040,0.700,0.020,85.710,0.160,0.020,0.140,0.040,0.300,0.020,0.540,0.040,0.840,0.060,0.580,0.020,0.370,0.040,0.770,0.070,0.540
1,15.000,2022-01-25 11:20:25.278,1643109635438.462,1643109636338.390,15,20,1.460,0.000,0.720,0.020,83.330,0.140,0.040,0.180,0.020,0.320,0.020,0.580,0.020,0.900,0.000,0.560,0.000,0.400,0.030,0.840,0.030,0.570
1,15.000,2022-01-25 11:20:25.278,1643109636158.469,1643109637058.448,15,20,1.460,0.020,0.740,0.020,81.080,0.180,0.020,0.160,0.020,0.340,0.000,0.560,0.000,0.900,0.000,0.560,0.020,0.430,0.010,0.860,0.060,0.590
